noun,modifier,Verb,sentence2,label,sentence1,idx
Circuit,Short,Causes,A short circuit causes a power outage.,3,,
Headphones,Comfortable,Listen,Comfortable headphones listen to podcasts.,3,,
Projector,Portable,Projects,A portable projector projects presentations.,3,,
Screen,Large,Displays,A large screen displays movies.,3,,
Binoculars,Powerful,Zooms,Powerful binoculars zoom in on wildlife.,3,,
Clothes dryer,Energy-saving,Dries,An energy-saving clothes dryer dries clothes gently.,3,,
Shower,Spacuous,Refreshes,A spacious shower refreshes the body.,3,,
Window,Large,Provides,A large window provides natural light.,3,,
Spoon,Large,Scoops,A large spoon scoops out soup.,3,,
Dog,Happy,Wags,A happy dog wags its tail.,4,,
Building,Tall,Casts,A tall building casts a long shadow.,4,,
Book,Good,Engages,A good book engages the reader.,4,,
Habit,Bad,Is,A bad habit is hard to break.,4,,
Wind,Strong,Blows,A strong wind blows leaves away.,4,,
Blanket,Warm,Keeps,A warm blanket keeps you cozy.,4,,
Singer,Talented,Performs,A talented singer performs well.,4,,
Cake,Delicious,Tastes,A delicious cake tastes sweet.,4,,
Sunset,Beautiful,Paints,A beautiful sunset paints the sky.,4,,
Bee,Busy,Collects,A busy bee collects nectar.,4,,
Child,Curious,Asks,A curious child asks questions.,4,,
Surgeon,Skilled,Performs,A skilled surgeon performs operations.,4,,
Car,Fast,Races,A fast car races down the track.,4,,
Cooker,Slow,Cooks,A slow cooker cooks stew all day.,4,,
Smartphone,Smart,Connects,A smartphone connects to the internet.,4,,
Muscle,Sore,Feels,A sore muscle feels painful.,4,,
Plant,Young,Needs,A young plant needs watering.,4,,
Tree,Old,Has,An old tree has deep roots.,4,,
House,Big,Requires,A big house requires maintenance.,4,,
Marker,Colorful,Highlights,A colorful marker highlights important information.,4,,
Pencil,Soft,Sketches,A soft pencil sketches a rough draft.,4,,
Eraser,Large,Deletes,A large eraser deletes mistakes.,4,,
Ruler,Long,Measures,A long ruler measures length.,4,,
Protractor,Accurate,Measures,An accurate protractor measures angles.,4,,
Paintbrush,Wide,Paints,A wide paintbrush paints broad strokes.,4,,
Easel,Sturdy,Holds,A sturdy easel holds a canvas steady.,4,,
Canvas,Empty,Awaits,An empty canvas awaits creation.,4,,
Chalk,White,Writes,White chalk writes on blackboards.,4,,
Blackboard,Black,Erases,A black blackboard erases easily.,4,,
Computer,Powerful,Calculates,A powerful computer calculates complex equations.,4,,
Keyboard,Quiet,Types,A quiet keyboard types out reports.,4,,
Mouse,Wireless,Clicks,A wireless mouse clicks on icons.,4,,
Printer,Fast,Prints,A fast printer prints documents quickly.,4,,
Ink,Vibrant,Colors,Vibrant ink colors graphics.,4,,
Paper,Recycled,Uses,Recycled paper uses less resources.,4,,
Camera,Digital,Captures,A digital camera captures memories.,4,,
Lens,Wide-angle,Frames,A wide-angle lens frames landscapes.,4,,
Flash,Bright,Illuminates,A bright flash illuminates dark scenes.,4,,
Speakers,Clear,Play,Clear speakers play music loudly.,4,,
Audio,High-quality,Enhances,High-quality audio enhances sound effects.,4,,
Telescope,Advanced,Observes,An advanced telescope observes celestial bodies.,4,,
Magnifying glass,Handheld,Examines,A handheld magnifying glass examines small objects.,4,,
Lamp,Bright,Lights,A bright lamp lights up a room.,4,,
